STATE/UT,Year,CRIME HEAD,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total,
HIMACHAL PRADESH,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,9,2,11,2,22,10,1,0,43,14,57
KERALA,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,1,1,4,0,0,0,5,1,6
MADHYA PRADESH,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,1,0,5,2,6,1,0,0,12,3,15
MAHARASHTRA,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,4,0,6,0,2,0,0,1,12,1,13
MANIPUR,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,2,0,0,0,0,0,2,0,2
PUNJAB,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,18,2,11,0,0,0,29,2,31
SIKKIM,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,2,0,12,0,3,0,0,0,17,0,17
UTTARAKHAND,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,7,0,14,1,38,3,19,3,2,1,80,8,88
TOTAL (STATES),2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,9,0,65,8,145,31,98,22,8,4,325,65,390
A & N ISLANDS,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,2,0,0,1,0,0,0,0,2,1,3
LAKSHADWEEP,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,1,0,0,1,2,0,0,0,3,1,4
TOTAL (UTs),2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,0,0,3,0,0,2,2,0,0,0,5,2,7
TOTAL (ALL-INDIA),2012,PROHIBITION OF CHILD MARRIAGE ACT,2006,9,0,68,8,145,33,100,22,8,4,330,67,397
ANDHRA PRADESH,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,1,0,4,5,10,3,3,0,0,0,18,8,26
ARUNACHAL PRADESH,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,3,0,0,0,0,0,3,0,3
BIHAR,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,5,0,2,0,0,0,0,0,7,0,7
CHHATTISGARH,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,1,0,0,0,0,0,0,0,1,0,1
GOA,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,1,4,5,0,0,0,0,4,6,10
HIMACHAL PRADESH,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,3,0,6,0,0,0,0,0,9,0,9
MADHYA PRADESH,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,1,0,1,0,0,0,2,0,2
MANIPUR,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,1,0,0,0,0,0,1,0,1
PUNJAB,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,3,0,48,2,13,0,0,0,0,0,64,2,66
SIKKIM,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,2,0,16,0,20,0,2,0,40,0,40
TRIPURA,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,2,0,8,0,0,0,0,0,10,0,10
TOTAL (STATES),2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,4,0,65,8,64,8,24,0,2,0,159,16,175
A & N ISLANDS,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),2012,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1986,4,0,65,8,64,8,24,0,2,0,159,16,175
ANDHRA PRADESH,2012,COPYRIGHT ACT,1957,0,0,401,0,330,0,59,0,2,0,792,0,792
ARUNACHAL PRADESH,2012,COPYRIGHT ACT,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,COPYRIGHT ACT,1957,0,0,0,0,4,0,0,0,0,0,4,0,4
BIHAR,2012,COPYRIGHT ACT,1957,0,0,10,0,16,0,7,0,0,0,33,0,33
CHHATTISGARH,2012,COPYRIGHT ACT,1957,0,0,2,0,13,0,1,1,0,0,16,1,17
GOA,2012,COPYRIGHT ACT,1957,0,0,2,0,8,0,1,0,0,0,11,0,11
GUJARAT,2012,COPYRIGHT ACT,1957,6,5,177,6,200,2,28,0,1,0,412,13,425
HARYANA,2012,COPYRIGHT ACT,1957,0,0,68,0,71,0,16,0,0,0,155,0,155
HIMACHAL PRADESH,2012,COPYRIGHT ACT,1957,0,0,3,0,6,0,0,0,0,0,9,0,9
JAMMU & KASHMIR,2012,COPYRIGHT ACT,1957,0,0,2,0,3,0,3,0,0,0,8,0,8
JHARKHAND,2012,COPYRIGHT ACT,1957,0,0,24,0,15,0,4,0,0,0,43,0,43
KARNATAKA,2012,COPYRIGHT ACT,1957,0,0,210,0,169,11,37,0,4,0,420,11,431
KERALA,2012,COPYRIGHT ACT,1957,0,0,104,0,134,0,22,0,4,0,264,0,264
MADHYA PRADESH,2012,COPYRIGHT ACT,1957,0,0,44,0,44,0,7,0,1,0,96,0,96
MAHARASHTRA,2012,COPYRIGHT ACT,1957,2,0,295,1,217,2,38,1,1,0,553,4,557
MANIPUR,2012,COPYRIGHT ACT,1957,0,0,2,0,2,1,0,0,0,0,4,1,5
MEGHALAYA,2012,COPYRIGHT ACT,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,COPYRIGHT ACT,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,COPYRIGHT ACT,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,COPYRIGHT ACT,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,2012,COPYRIGHT ACT,1957,0,0,190,8,173,16,50,4,0,0,413,28,441
RAJASTHAN,2012,COPYRIGHT ACT,1957,0,0,218,0,149,0,28,0,1,0,396,0,396
SIKKIM,2012,COPYRIGHT ACT,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,COPYRIGHT ACT,1957,3,0,1364,1,1303,3,209,0,10,0,2889,4,2893
TRIPURA,2012,COPYRIGHT ACT,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,COPYRIGHT ACT,1957,0,0,229,0,192,0,51,0,0,0,472,0,472
UTTARAKHAND,2012,COPYRIGHT ACT,1957,0,0,2,0,10,0,6,0,0,0,18,0,18
WEST BENGAL,2012,COPYRIGHT ACT,1957,0,0,160,0,226,0,48,0,9,0,443,0,443
TOTAL (STATES),2012,COPYRIGHT ACT,1957,11,5,3507,16,3285,35,615,6,33,0,7451,62,7513
A & N ISLANDS,2012,COPYRIGHT ACT,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,COPYRIGHT ACT,1957,0,0,3,0,5,0,1,0,0,0,9,0,9
D & N HAVELI,2012,COPYRIGHT ACT,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,COPYRIGHT ACT,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,COPYRIGHT ACT,1957,0,0,42,0,88,1,19,0,5,0,154,1,155
LAKSHADWEEP,2012,COPYRIGHT ACT,1957,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,COPYRIGHT ACT,1957,0,0,3,0,6,0,2,0,0,0,11,0,11
TOTAL (UTs),2012,COPYRIGHT ACT,1957,0,0,48,0,99,1,22,0,5,0,174,1,175
TOTAL (ALL-INDIA),2012,COPYRIGHT ACT,1957,11,5,3555,16,3384,36,637,6,38,0,7625,63,7688
ANDHRA PRADESH,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
A & N ISLANDS,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),2012,COMMISSION SATI PREVENTION ACT,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,2,1,618,44,696,79,356,39,86,0,1758,163,1921
ARUNACHAL PRADESH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,2,0,0,0,0,0,2,0,2
BIHAR,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,25,11,3189,153,2910,106,1385,42,189,11,7698,323,8021
CHHATTISGARH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,1,1,0,0,0,0,1,1,2
GUJARAT,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,4,0,184,7,228,21,94,6,8,0,518,34,552
HARYANA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,1,0,14,0,9,0,4,1,0,0,28,1,29
HIMACHAL PRADESH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,1,0,31,6,22,11,26,4,8,2,88,23,111
JAMMU & KASHMIR,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,292,7,220,23,77,17,9,0,598,47,645
KARNATAKA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,5,0,1056,42,1157,110,793,82,156,11,3167,245,3412
KERALA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,10,0,23,0,2,0,0,0,35,0,35
MADHYA PRADESH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,2,0,0,0,0,0,2,0,2
MAHARASHTRA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,2,0,236,17,270,28,105,10,9,1,622,56,678
MANIPUR,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,2,0,853,49,1117,52,397,6,39,0,2408,107,2515
PUNJAB,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,6,0,11,0,3,0,0,0,20,0,20
RAJASTHAN,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,17,0,21,1,7,0,0,0,45,1,46
SIKKIM,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,1,0,0,0,0,0,0,0,1,0,1
TAMIL NADU,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,50,0,755,49,745,72,341,41,31,8,1922,170,2092
TRIPURA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,4,0,3201,12,1511,4,866,2,0,0,5582,18,5600
UTTARAKHAND,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,2,0,9,0,0,0,0,0,11,0,11
WEST BENGAL,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,72,2,62,2,22,0,0,0,156,4,160
TOTAL (STATES),2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,96,12,10537,388,9016,510,4478,250,535,33,24662,1193,25855
A & N ISLANDS,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,1,0,0,0,0,0,1,0,1
D & N HAVELI,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,1,0,0,0,0,0,0,0,1,0,1
DAMAN & DIU,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,1,0,13,4,8,2,0,0,0,0,22,6,28
LAKSHADWEEP,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,0,0,4,0,5,0,1,0,0,0,10,0,10
TOTAL (UTs),2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,1,0,18,4,14,2,1,0,0,0,34,6,40
TOTAL (ALL-INDIA),2012,SC/ST (PREVENTION OF ATROCITIES) ACT,1989,97,12,10555,392,9030,512,4479,250,535,33,24696,1199,25895
ANDHRA PRADESH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,1,1,511,41,594,73,307,37,74,0,1487,152,1639
ARUNACHAL PRADESH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,0,0,2,0,0,0,0,0,2,0,2
BIHAR,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,20,9,3120,144,2805,99,1346,40,181,11,7472,303,7775
CHHATTISGARH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,0,0,1,1,0,0,0,0,1,1,2
GUJARAT,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,4,0,154,6,183,17,70,2,5,0,416,25,441
HARYANA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,1,0,14,0,9,0,4,1,0,0,28,1,29
HIMACHAL PRADESH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,1,0,27,6,21,11,26,4,8,2,83,23,106
JAMMU & KASHMIR,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,209,5,182,14,51,11,0,0,442,30,472
KARNATAKA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,4,0,874,30,987,96,646,71,149,11,2660,208,2868
KERALA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,10,0,17,0,1,0,0,0,28,0,28
MADHYA PRADESH,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,0,0,2,0,0,0,0,0,2,0,2
MAHARASHTRA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,1,0,207,12,221,24,85,9,9,1,523,46,569
MANIPUR,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,1,0,637,23,835,38,290,5,37,0,1800,66,1866
PUNJAB,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,6,0,11,0,3,0,0,0,20,0,20
RAJASTHAN,2012,SC/ST (PREVENTION OF ATROCITIES) ACT, 1989 FOR CRIMES COMMITTED AGAINST SCHEDULED CASTES,0,0,15,0,14,0,7,0,0,0,36,0,36
